symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
GOOGL,1.3100202080596348,0.26464103163451663,-0.0026369900225896438,1.0,100.0
LLY,0.844022369399133,0.290199432474882,-0.12139495859505539,2.0,98.0
JNJ,0.8387969849994004,0.04464207071409045,0.12311732628578963,3.0,96.0
MRK,0.7036713802551211,0.12422119769694176,0.016513078354082465,4.0,94.0
CAT,0.6784484055064866,0.15495910053522022,-0.019269419433922897,5.0,92.0
TMO,0.49669736673501746,0.11527008681195224,-0.01593061346494875,6.0,90.0
BAC,0.4849937277692746,0.05830320689061078,0.038695538663244135,7.0,88.0
C,0.47800138201194636,0.10408527782329101,-0.008485001420901729,8.0,86.0
MS,0.4587518616691459,0.09399941833688309,-0.002249046003053905,9.0,84.0
BMY,0.4572189780128633,0.07453632525339583,0.016907470349176834,10.0,82.0
GS,0.42473904596624423,0.09488281002070825,-0.009935000827459399,11.0,80.0
UPS,0.3567255301637985,0.06432358946092483,0.007021516571834881,12.0,78.0
ABBV,0.33944137942717284,0.021296314089423955,0.04659196179601061,13.0,76.0
WFC,0.33646755556012187,0.05055920344609578,0.016734307665928597,14.0,74.0
AXP,0.33153073229377944,0.07813220299555085,-0.01182605653679496,15.0,72.0
AMGN,0.32267216435709295,0.0404534876261905,0.024080945245228098,16.0,70.0
XOM,0.321031553177024,-0.001842328112400565,0.06604863874780537,17.0,68.0
JPM,0.2897759844350899,0.004335270384589528,0.05361992650242845,18.0,66.0
LMT,0.2882391166341397,0.01518697814862059,0.042460845178207356,19.0,64.0
MCD,0.27515117985322113,-0.07571504943379566,0.1307452854044399,20.0,62.0
KO,0.22668139263538922,-0.08965836897760006,0.1349946475046779,21.0,60.0
V,0.21057483230048593,-0.03525853098729961,0.0773734974473968,22.0,57.99999999999999
WMT,0.1527848224535821,-0.023463740602993746,0.05402070509371017,23.0,56.00000000000001
MA,0.11409646951336144,-0.05699105871949657,0.07981035262216886,24.0,54.0
GE,0.10948646029678047,0.026776067929946454,-0.004878775870590359,25.0,52.0
UNP,0.09226284491102126,-0.06456681830254805,0.0830193872847523,26.0,50.0
AAPL,0.048524728389138246,0.0230975487719951,-0.01339260309416745,27.0,48.0
PFE,0.019943924321824437,-0.042655477021333627,0.046644261885698514,28.0,46.0
CVX,0.014398150459133119,-0.056270330646311734,0.05914996073813836,29.0,44.0
PG,-0.0008997513866280948,-0.12545604252720433,0.1252760922498787,30.0,42.0
PEP,-0.029435819579141237,-0.09093467104361347,0.08504750712778522,31.0,40.0
ABT,-0.07436086383021415,-0.09328887425142703,0.0784167014853842,32.0,38.0
HON,-0.11220203522084686,-0.08157302359453818,0.059132616550368805,33.0,36.0
MMM,-0.15559921949662908,-0.031248523300765968,0.00012867940144014933,34.0,34.0
COST,-0.1642183392639495,-0.12620527399805356,0.09336160614526366,35.0,32.0
HD,-0.221892829783265,-0.12053346847932644,0.07615490252267344,36.0,30.0
CRM,-0.25508023792172113,-0.01783456749089898,-0.03318148009344525,37.0,28.000000000000004
BLK,-0.2975944061514074,-0.08845729197100488,0.028938410740723397,38.0,26.0
MSFT,-0.31739343717983526,-0.11172333064426682,0.048244643208299756,39.0,24.0
UNH,-0.36648025217299457,0.1446851362717205,-0.2179811867063194,40.0,22.0
AMZN,-0.38752063100186485,-0.03157233884391418,-0.04593178735645879,41.0,20.0
ADBE,-0.47911303194733257,-0.07565830986039432,-0.020164296529072194,42.0,18.0
TGT,-0.5825455669232876,-0.07315649963126562,-0.043352613753391916,43.0,16.0
SBUX,-0.6415562490136342,-0.09362109426862379,-0.034690155534103054,44.0,14.000000000000002
BA,-0.7350469209119916,-0.07354812588193523,-0.0734612583004631,45.0,12.0
NVDA,-0.9598785091585055,-0.05085360820374912,-0.14112209362795197,46.0,10.0
TSLA,-1.1535812912174266,0.1042731669229625,-0.33498942516644786,47.0,8.0
META,-1.2338359983517126,-0.15157690942211235,-0.09519029024823017,48.0,6.0
NKE,-1.3584629256096832,-0.14956946804192098,-0.12212311708001569,49.0,4.0
AMD,-1.4984522154443531,0.04037420001828214,-0.3400646431071528,50.0,2.0
