symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
GOOGL,1.3185021562104393,0.26442472124775757,-0.0007242900056697218,1.0,100.0
LLY,0.8878295864477139,0.29891718126630956,-0.12135126397676675,2.0,98.0
MRK,0.8092658987311196,0.14460360812629305,0.017249571619930862,3.0,96.0
JNJ,0.796447059708777,0.03561209042296775,0.12367732151878766,4.0,94.0
CAT,0.7701646169917431,0.17948646775052188,-0.025453544352173257,5.0,92.0
LMT,0.4821412198187533,0.05376104911093388,0.04266719485281678,6.0,90.0
BAC,0.45433998552036625,0.05263397308848892,0.03823402401558433,7.0,88.0
MS,0.4290207160145042,0.08764719630855591,-0.0018430531056550664,8.0,86.0
UPS,0.4280475878182061,0.07755114747596689,0.00805837008767434,9.0,84.0
TMO,0.42205453609198096,0.09916976506754827,-0.014758857849152068,10.0,82.0
XOM,0.4215932085758746,0.018164597961850545,0.06615404375332438,11.0,80.0
GS,0.41255474706545736,0.09414912273457325,-0.011638173321481766,12.0,78.0
C,0.40295629441126746,0.09349700501221637,-0.01290574612996289,13.0,76.0
BMY,0.37624810871672065,0.06014719130159954,0.015102430441744594,14.0,74.0
AXP,0.37383963239584594,0.08547624874542248,-0.010708322266253296,15.0,72.0
WFC,0.34913703332854956,0.052770546272848266,0.01705686039286165,16.0,70.0
MCD,0.33609807125526703,-0.06381085345258414,0.13103046770363755,17.0,68.0
KO,0.29667068823692955,-0.07612034368625063,0.13545448133363655,18.0,66.0
JPM,0.29609056438524445,0.007745673420815941,0.051472439456232956,19.0,64.0
ABBV,0.23854520496601656,0.0005885358888550825,0.04712050510434823,20.0,62.0
AMGN,0.1762483948138103,0.013264581320755826,0.02198509764200624,21.0,60.0
UNP,0.16567403383601478,-0.05073120416656403,0.08386601093376699,22.0,57.99999999999999
WMT,0.1458075602738119,-0.02424473466040688,0.05340624671516926,23.0,56.00000000000001
V,0.14497911460868365,-0.04907544428362483,0.07807126720536156,24.0,54.0
CVX,0.055917072722637996,-0.04874450178294149,0.05992791632746909,25.0,52.0
MA,0.05203725645473681,-0.07027884577338109,0.08068629706432845,26.0,50.0
PG,0.04971711475899532,-0.11602028974700687,0.12596371269880594,27.0,48.0
PEP,-0.015222253963725063,-0.08831024160488266,0.08526579081213764,28.0,46.0
GE,-0.016249287223714503,0.004030254652053966,-0.007280112096796867,29.0,44.0
PFE,-0.02237604584819284,-0.05061352007567266,0.04613831090603409,30.0,42.0
HON,-0.03164156841729507,-0.06660680101549797,0.06027848733203896,31.0,40.0
AAPL,-0.0755561968691415,-0.0038298632654456734,-0.011281376108382628,32.0,38.0
COST,-0.09441415874092952,-0.11272771781299629,0.09384488606481038,33.0,36.0
ABT,-0.14386819499572773,-0.10749939118316804,0.07872575218402249,34.0,34.0
MMM,-0.1503702582133374,-0.028267748990506103,-0.0018063026521613805,35.0,32.0
HD,-0.16536708309886974,-0.1105370551809374,0.07746363856116345,36.0,30.0
BLK,-0.2960558800228678,-0.08957308772202505,0.030361911717451475,37.0,28.000000000000004
CRM,-0.302176846521513,-0.028622000156482794,-0.03181336914781981,38.0,26.0
AMZN,-0.3246637159486729,-0.01808856753902518,-0.04684417565070939,39.0,24.0
MSFT,-0.36146971107709636,-0.1211685156380816,0.048874573422662326,40.0,22.0
UNH,-0.36378455954276506,0.1443735689861244,-0.21713048089467743,41.0,20.0
ADBE,-0.49377374001655994,-0.07978616903884411,-0.018968578964467884,42.0,18.0
TGT,-0.51247832720529,-0.05854660792717068,-0.043949057513887314,43.0,16.0
SBUX,-0.6409268538137982,-0.09280169902259819,-0.035383671740161465,44.0,14.000000000000002
BA,-0.7655919514977753,-0.08072413701664519,-0.07239425328290988,45.0,12.0
NVDA,-1.079904457947753,-0.06940957156758913,-0.14657132002196152,46.0,10.0
TSLA,-1.1575969074580779,0.10105479462186412,-0.3325741761134797,47.0,8.0
META,-1.224780247741962,-0.15100941906991835,-0.09394663047847407,48.0,6.0
NKE,-1.2801051556419623,-0.1372848306359898,-0.11873620049240269,49.0,4.0
AMD,-1.5735540623524442,0.02536384123191329,-0.34007465370240214,50.0,2.0
